Ag,B,Ba,Co,Cr,Mo,Ni,Pb,Sn,Zn,Binary,Quaternary
0.02,30,393,14,57,2,38,7,5,87,0,0
0.02,18,404,20,27,2,29,6,5,70,0,0
0.02,13,417,17,44,2,23,5,5,75,0,0
0.02,9,377,12,20,1,19,6,5,70,0,0
0.02,24,277,14,31,2,18,14,5,168,0,0
0.02,26,797,14,25,2,28,11,5,87,0,0
0.02,15,361,13,110,1,36,11,5,113,0,0
0.02,16,414,16,73,2,42,9,5,133,0,0
0.02,17,617,21,83,1,39,8,5,144,0,0
0.02,8,292,17,285,1,43,11,5,267,0,0
0.02,14,613,18,76,1,33,10,5,133,0,0
0.02,10,419,19,113,2,36,7,5,232,0,0
0.02,21,659,19,115,2,47,11,5,149,0,0
0.02,15,633,16,73,1,34,13,5,128,0,0
0.02,31,583,13,108,1,28,12,5,133,0,0
0.02,52,790,38,400,1,100,56,19,285,0,0
0.02,153,1200,43,250,2,118,55,5,270,0,0
0.02,205,930,39,267,2,140,54,5,152,0,0
0.02,118,700,36,230,2,95,44,5,178,0,0
0.02,56,760,34,235,2,88,31,5,272,0,0
0.02,69,462,27,121,1,46,47,16,168,0,0
0.02,57,420,34,100,2,65,62,14,265,0,0
0.02,46,460,32,159,2,44,42,5,172,0,0
0.02,57,542,22,115,2,50,37,5,178,0,0
0.02,54,470,34,216,2,68,35,5,125,0,0
0.02,59,640,38,175,2,64,64,22,285,0,0
0.02,46,590,16,110,2,33,41,5,170,0,0
1,54,415,56,197,1,128,44,56,752,0,0
0.02,88,700,44,168,1,95,120,35,460,0,0
0.02,42,371,39,40,2,117,84,5,132,0,0
0.02,53,405,40,40,1,117,60,5,149,0,0
0.02,69,350,41,151,2,147,174,5,250,0,0
0.02,24,295,33,50,1,118,8,5,74,0,0
0.02,33,337,46,54,2,152,9,5,92,0,0
0.02,24,319,38,31,2,120,11,5,74,0,0
0.02,19,437,35,50,1,104,10,5,71,0,0
0.02,21,336,40,67,2,110,12,5,119,0,0
0.02,21,314,49,23,2,135,7,5,72,0,0
0.02,32,405,38,50,2,120,14,5,79,0,0
